date,classification,Closed PnL,Size USD
2023-01-05,Fear,0.0,477.0
2023-05-12,Neutral,0.0,50005.83
2024-01-01,Greed,-7.196192222222223,264239.52999999997
2024-01-02,Greed,0.0,2008.18
2024-01-03,Greed,60.176944591240876,472974.7
2024-01-04,Greed,32.57095332467532,339470.47
2024-01-05,Greed,0.0,87025.45
2024-01-06,Greed,3.66041676,12834.62
2024-01-07,Greed,79.1537391875,362670.14999999997
2024-01-08,Greed,2.9312283684210527,227774.53
2024-01-09,Extreme Greed,11.452757750000002,12359.68
2024-01-10,Greed,0.0,139954.32
2024-01-11,Extreme Greed,45.238075478260875,260981.03
2024-01-12,Greed,98.28453003365385,814711.82
2024-02-01,Greed,46.11641858823529,121348.74
2024-02-02,Greed,10.867225547619048,474278.43
2024-02-03,Greed,7.448406451612905,63197.56
2024-02-04,Greed,21.555141756097562,239664.50999999998
2024-02-06,Greed,2.074268247311828,29464.51
2024-02-07,Greed,134.514062,33347.47
2024-02-08,Greed,12.418542714285714,396320.37
2024-02-09,Greed,0.0,30000.42
2024-02-10,Greed,0.0,99954.34
2024-02-11,Greed,0.0,40000.0
2024-02-12,Greed,68.48001597407408,585243.56
2024-03-01,Extreme Greed,12.925604582089552,394499.36
2024-03-02,Extreme Greed,3.9876640535714283,603820.0
2024-03-03,Extreme Greed,105.83653474683545,390745.68
2024-03-04,Extreme Greed,31.6971,16887.57
2024-03-05,Extreme Greed,147.3893623611111,282682.64999999997
2024-03-06,Extreme Greed,8.040117257142859,21466.86
2024-03-07,Extreme Greed,62.132626888888886,179600.66
2024-03-08,Extreme Greed,12.545667567567568,290532.86
2024-03-10,Extreme Greed,11.152864666666666,132935.69
2024-03-11,Extreme Greed,0.0,129055.66
2024-03-12,Extreme Greed,63.03887509358289,1084666.53
2024-04-01,Extreme Greed,-13.520728,99792.54000000001
2024-04-02,Extreme Greed,1.360682714285714,203187.53
2024-04-03,Greed,92.66591914,1577996.87
2024-04-04,Greed,0.0,95987.73
2024-04-05,Extreme Greed,0.0,58998.75
2024-04-06,Extreme Greed,0.9851214716981133,24243.41
2024-04-07,Extreme Greed,0.0,430568.01
2024-04-08,Extreme Greed,-965.9212667952756,1207744.07
2024-04-09,Extreme Greed,31.346621529411763,131480.97
2024-04-10,Extreme Greed,0.0,0.34
2024-04-11,Extreme Greed,77.76140205555555,451811.97
2024-04-12,Extreme Greed,918.1561599404388,769287.65
2024-05-01,Neutral,2.486993409090909,1703942.66
2024-05-02,Fear,-0.4646415833333337,770198.26
2024-05-03,Neutral,109.95014467222222,841810.32
2024-05-04,Greed,107.06484306,503791.8
2024-05-05,Greed,0.15266666666666667,24068.350000000002
2024-05-06,Greed,1.038064925925926,25350.77
2024-05-07,Greed,0.0,272289.89
2024-05-08,Greed,-162.6708146125,420495.4
2024-05-09,Greed,0.0,0.84
